,target_words,word2vec,word2vec_weighted,fasttext,fasttext_weighted,poincare_vec,poincare_vec_weighted
0,女性,男性 女 男 人 女子 恋愛 独女 外見 代 女の子,男性 恋愛 女子 独女 外見 同性 彼女 男女 女の子 恋愛対象,男性 未婚女性 同性 女性特有 外見 好か サバサバ 独身女性 主婦層 代女性,男性 同性 外見 好か サバサバ 独身女性 代女性 働く女性 代男性 アラサー女子,人生 妊娠 服 読ん 当たり前 家族 育児 なに 生活 人事,今日 妊娠 なに サラリーマン 存在 派遣 両親 変化 勘違い 年下
1,彼氏,付き合っ 彼女 彼 男性 結婚 私 別れ つきあっ 同棲 趣味,付き合っ 結婚 彼女 別れ 男性 恋人 浮気 交際 付き合う いない,彼氏いない歴 付き合え 別れ際 元彼女 付き合お 付き合わ 付き合う 真帆 つきあっ 口説か,付き合え 付き合お 付き合わ 付き合う 別れ 付き合っ 片思い 恋愛結婚 付き合える プロポーズ,子供 理想 相手 言葉 女の子 娘 嬉しい 決断 らしい 大好き,子供 相手 夫婦 先輩 男性 女子 同僚 友人 既婚 一緒
2,ダイエット,痩せ エクササイズ 痩せる やせ 運動 美容 脂肪 体重 デトックス カロリー,エクササイズ やせ 運動 脂肪 体重 デトックス 健康 食生活 代謝 太り,ダイエット方法 糖質オフダイエット 痩せ 痩せる 朝晩 エクササイズ 体質改善 やせ カロリー 撃退,ダイエット方法 エクササイズ 体質改善 やせ 撃退 運動不足 疲労回復 摂る 摂取 摂っ,興味 気 気味 あなた なのか 気づか 要素 転勤 朝 モチベーション,気味 なのか 要素 走る モチベーション どうして 仲良く イイ 想い 離婚
3,エンジニア,外資 新卒 転身 外資系 ベンチャー 入社 営業 高収入 人材 何人,新卒 転身 外資 ベンチャー 入社 外資系 高収入 会社 キャリアアップ 転職,ＩＴ ＳＥ 外資 レコーディングエンジニア ベンチャー企業 コンサルティングファーム コンサルティング会社 外資系 外資系企業 コンサルティング,外資 ベンチャー企業 コンサルティングファーム コンサルティング会社 外資系 外資系企業 コンサルティング 投資会社 商品開発 技術者,総合 日本テレビ 館 生放送 症 GIGABYTE Copyright 開幕 計測 提供開始,生放送 提供開始 nejp ニコン 太陽 カナダ 初回 フレッシュ 優待 スペシャルサイト
4,アップル,サムスン 特許 iOS Apple ジョブズ iCloud WWDC iPad 米 Nexus,ジョブズ 話題 アンドロイド スティーブジョブズ 影響 今後 使っ 登場 使用 コラボ,アップル社 敗訴 勝訴 販売差し止め アップルストア Apple 商標 サムスン iOS 特許,アップル社 ジョブズ スティーブジョブズ アンドロイド 話題 広まり アップ 続々 恐れ 予感,有料 HDMI ドコモ V ISWHT フルHD net セット 超 Express,セット 含む net 国内 資料 未定 入り acro 発売予定 rpm
5,転職,求人 年収 type 求人情報 情報提供 薬剤師 仕事 情報コンテンツ 新卒 キャリアアップ,年収 情報提供 求人情報 仕事 新卒 情報コンテンツ 専門職 薬剤師 管理職 キャリアアップ,求人 type 管理職 ビズリーチ 専門職 人生がときめく片づけの魔法 新卒 市場価値 ＳＥ キャリアアップ,管理職 専門職 人生がときめく片づけの魔法 新卒 市場価値 キャリアアップ 情報提供 事務職 外資系 外資,bizreach 不足 一般 あらゆる Scope ため Google 前半 求人 奥行き,求人 livedoor http type jp 競合 ミッドレンジ ハードウェアスペック 成ら ウェブサービス
6,無料,価格 アプリ 料金 カテゴリ 開発者 有料 ANDROID バージョン Co 料,アプリ 価格 カテゴリ 開発者 スマートフォンアプリ にゃんこ 執筆 セール メモ帳 向け,無料化 無料通話 完全無料 無料配信 Navi CHANCE MEMO SafeSync 添い寝 有料,無料通話 アーケード ローソンアプリ リマインダーアプリ えほん スマートフォンアプリ ゲーム開発 iアプリ エンターティメント ハロウィーン,W A 世界初 B 千 販売価格 iPhoneS ELUGA 未定 名,連続 ブログメディア ブラック として docomo カテゴリ による おサイフケータイ モバイル および
7,もうすぐ,ゴールデンウィーク 春 帰省 EXILIM 休止 薄着 そろそろ 撮り 早く ふぉっくす紺子,そろそろ 遅く なに やってくる やっぱ もう なんとか 決まり いっぱい くらい,雨雲 真っ盛り 経と お盆 まもなく 参加者募集 暑く お中元 差し掛かり 夜遅く,夜遅く そろそろ 慌ただしく やってくる 日帰り 愛でる 過ぎれ ミコ 終わり もう一歩,軽い 定番 アイ に関して レベル 弱 器具 甘く ドバイ モノ,軽い 定番 アイ レベル 器具 甘く ドバイ 反面 カッコイイ あっさり
8,終わり,いつか 終わる 本番 始まり 楽しい 出来事 近づき 終わっ 笑っていいとも まもなく,いつか 終わる 仲良く もう そろそろ あと やめ ダメ それ ちゃえ,終われ がんばる Picnik 明け 本番 がんばろう 迎えよ 慌ただしく 近づき 終わら,がんばる 終われ がんばろう 終わる 始まら わり 終わら 慌ただしく 口実 経た,語る 目 苦言 レッスン 春 高い たち CN 世代 年生,地元 学生 影響 小学生 震災 教育 今や ビデオサロン にくい 空気
9,コンビニ,セブンイレブン 弁当 おにぎり レシピ スイーツ 食べ 食べる Perfect パスタ 鶏,弁当 食べ おにぎり スイーツ 食べる レシピ 飲む トマト パスタ ご飯,コンビニ弁当 弁当 おにぎり コンビニエンスストア セブンアイ 済ます 外食 カレー ヨネスケ ウチ,弁当 おにぎり カレー ヨネスケ 炊き込みご飯 コーヒー豆 スナック菓子 生野菜 ケークサレ ごちそう,では 苦労 生きる 身近 意識 願い 嬉しく 薬 現場 友だち,苦労 生きる 友だち 指輪 辛口 目標 カップル 見つける 刺激 好きな人
10,アンドロイド,iPhone アップル 発熱 カシオ コミュニティサイト 新店 スティーブジョブズ Android Hisumi ニコ動,ジョブズ スティーブジョブズ アップル 話題 初心者 高まる ついに 集め 登場 注目,アンドロイドスマホ アンドロイドアプリ カイロアプリ 追撃 ＧＸ 憎ん ホカホン 逆襲 ポラロイド 販売差し止め,スティーブジョブズ ジョブズ アップル 話題 アップル社 おもしろい 初心者 要注意 おもしろ ついに,販売元 金 クチコミ 概要 月 デュアル 付 TV ナビ Edition,概要 the ナビ スタンダード エプソン えむ 有料 ぴー 克彦 ドライブ
11,アプリ,Android 無料 カテゴリ ウィジェット インストール Android版 Play メモ帳 起動 開発者,無料 カテゴリ ウィジェット メモ帳 にゃんこ 開発者 jig 向け パズル 価格,iアプリ マイアプリ 神アプリ メモアプリ 不正アプリ ARアプリ リマインダーアプリ 専用アプリ シンセサイザーアプリ ホームアプリ,iアプリ マイアプリ 神アプリ メモアプリ 不正アプリ リマインダーアプリ 専用アプリ シンセサイザーアプリ ホームアプリ スマホアプリ,オフィシャルサイト 全 ハンゲーム Tab スタンド 出力 仕様 任天堂 共著 market,公式サイト ページ 特集 ビューアー レビュー 記事 見る 編集部 情報 デジ
12,本田圭佑,日本代表 MF 本田 長友佑都 ラツィオ マンU マンチェスターユナイテッド 香川真司 移籍 初戦,長友佑都 日本代表 長谷部誠 内田篤人 初戦 香川真司 予選 サッカー サッカー解説者 マンチェスターユナイテッド,岡崎慎司 CSKAモスクワ 先制点 清武弘嗣 李忠成 初ゴール 日本代表監督 今野泰幸 前半分 遠藤保仁,日本代表監督 前半分 同夜 後半分 岡崎慎司 快勝 長友佑都 アジア最終予選 香川真司 親善試合,照射 家電量販店 GDDR 型番 in KDDI 保証 局 Twin スタイリッシュ,家電量販店 スタイリッシュ した scene グラボ パナソニックモバイルコミュニケーションズ ヨドバシカメラ ジャック 呼子町 火曜日
13,サッカー,試合 日本代表 W杯 選手 ロンドン五輪 元日本代表 決勝 なでしこジャパン 五輪 野球,試合 日本代表 選手 女子サッカー 観戦 プレー なでしこジャパン 準決勝 決勝 強豪,サッカー場 サッカー部 サッカー界 サッカー選手 サッカー中継 女子サッカー 少林サッカー サッカー女子日本代表 サッカー日本代表 日本サッカー界,サッカー場 サッカー部 サッカー界 サッカー選手 サッカー中継 女子サッカー サッカー女子日本代表 サッカー日本代表 日本サッカー界 キリンチャレンジカップ,バッグ 読ま と 高校生 両者 見方 常識 いわゆる 試合 立つ,読ま 両者 見方 常識 いわゆる 立つ 隠す どころか 家庭内 昨今
14,コピー,ペースト テキスト exe 貼り ステータスバー フォルダ 長押 ドラッグ 本文 ドロップ,ペースト 貼り ドロップ 範囲 ファイル名 フォルダ 入力 と列 ブラウザ 作成,コピペ ペースト クイックアクセスツールバー 右クリックメニュー 画像ファイル 末尾 拡張子 empty 虫眼鏡 設定ファイル,ペースト クイックアクセスツールバー 右クリックメニュー 画像ファイル 設定ファイル 数式 文字列 添付ファイル 右クリック ツールバー,Googleドライブ 発音 ファイル 一条真人 乗り換え 入力 Dropbox 付け アドオン ホーム,発音 一条真人 ホーム ブラウザ 行える 文字 オプション 録音 自動的 範囲
